match_id,team,possession_share_proxy,passes_attempted,passes_completed,pass_accuracy_pct,shots_total,shots_on_target,shots_inside_box,shots_outside_box,shots_blocked,goals,fouls_committed,corners,offsides,gk_saves,peligrosidad_proxy
762863,Newell's Old Boys,0.475,235,157,66.8,10,2,,,1,0,18,2,2,6,1.24
762854,Deportivo Riestra,0.514,278,168,60.4,9,2,,,5,0,21,8,2,3,1.16
762854,Huracán,0.486,268,172,64.2,7,3,,,1,0,10,3,1,2,1.22
762852,Central Córdoba (Santiago del Estero),0.391,297,234,78.8,14,1,,,2,0,19,4,3,3,1.34
762852,Tigre,0.609,463,382,82.5,16,3,,,4,0,10,6,0,1,1.94
762861,San Lorenzo,0.495,350,271,77.4,8,6,,,1,2,13,3,4,5,1.96
762861,Estudiantes de Río Cuarto,0.505,351,254,72.4,11,4,,,3,0,13,6,4,4,1.76
762862,Vélez Sarsfield,0.369,327,198,60.6,9,4,,,3,1,9,5,2,5,1.6
762862,River Plate,0.631,569,448,78.7,12,5,,,2,0,14,7,1,3,2.06
762850,Unión (Santa Fe),0.466,336,262,78.0,20,6,,,5,1,14,1,2,3,2.92
762850,Aldosivi,0.534,390,290,74.4,12,3,,,5,0,9,4,0,5,1.62
762865,Platense,0.487,357,287,80.4,10,1,,,5,0,7,5,1,2,1.02
762865,Defensa y Justicia,0.513,390,324,83.1,9,2,,,2,0,7,3,1,1,1.16
762868,San Lorenzo,0.566,426,344,80.8,11,3,,,2,1,6,0,1,5,1.54
762868,Instituto (Córdoba),0.434,315,222,70.5,15,6,,,3,1,10,6,0,2,2.52
762874,Central Córdoba (Santiago del Estero),0.371,292,204,69.9,9,3,,,1,2,11,1,2,2,1.38
762874,Talleres (Córdoba),0.629,484,404,83.5,11,2,,,3,0,8,2,1,1,1.32
762873,Belgrano (Córdoba),0.499,383,290,75.7,11,4,,,3,3,12,0,0,1,1.76
762873,Atlético Tucumán,0.501,375,290,77.3,11,2,,,3,1,14,5,1,1,1.32
762877,Gimnasia (Mendoza),0.473,343,227,66.2,6,4,,,1,1,12,5,1,2,1.36
762877,Independiente,0.527,394,292,74.1,8,3,,,3,1,11,4,6,3,1.3
762872,Barracas Central,0.537,391,305,78.0,11,5,,,1,2,18,0,0,5,1.98
762872,Tigre,0.463,327,253,77.4,15,6,,,2,1,12,2,2,3,2.52
762876,Gimnasia La Plata,0.446,365,293,80.3,13,6,,,3,1,14,6,3,0,2.36
762876,Rosario Central,0.554,467,390,83.5,9,2,,,2,2,20,3,0,5,1.16
762864,Newell's Old Boys,0.379,273,203,74.4,14,1,,,3,0,11,2,2,5,1.34
762864,Estudiantes de La Plata,0.621,473,410,86.7,17,7,,,3,2,12,4,0,1,2.9
762870,Vélez Sarsfield,0.709,583,478,82.0,12,3,,,4,0,11,4,1,4,1.62
762870,Deportivo Riestra,0.291,240,145,60.4,10,4,,,1,0,18,3,3,3,1.68
762866,Racing Club,0.523,392,312,79.6,13,4,,,2,1,9,7,1,1,1.92
762866,Independiente Rivadavia,0.477,357,253,70.9,9,2,,,2,1,11,2,3,3,1.16
762869,Sarmiento (Junín),0.625,451,365,80.9,14,6,,,3,1,14,7,1,5,2.44
762869,Unión (Santa Fe),0.375,276,162,58.7,16,8,,,3,3,17,2,3,5,3.04
762875,Estudiantes de Río Cuarto,0.353,246,173,70.3,18,7,,,2,2,13,6,0,2,2.98
762875,Huracán,0.647,457,370,81.0,10,2,,,1,0,10,5,3,5,1.24
762867,River Plate,0.647,537,443,82.5,25,8,,,4,3,15,6,0,1,3.76
762867,Banfield,0.353,280,184,65.7,6,2,,,0,1,13,3,2,5,0.92
762882,Boca Juniors,0.707,575,488,84.9,19,5,,,4,1,11,9,3,2,2.62
762882,Gimnasia (Mendoza),0.293,247,150,60.7,6,3,,,2,1,17,3,1,4,1.14
762887,Independiente,0.74,523,431,82.4,28,8,,,9,2,7,11,1,2,4.0
762887,Central Córdoba (Santiago del Estero),0.26,192,117,60.9,7,2,,,1,0,15,2,2,4,1.0
